Local time,Open,High,Low,Close,Volume
02.01.2023 23:00:00.000 GMT-0000,11047.869,11063.169,10951.369,10966.019,4654982.09
03.01.2023 00:00:00.000 GMT-0000,10966.107,10967.097,10908.839,10910.667,4217679.02
03.01.2023 01:00:00.000 GMT-0000,10910.529,10911.389,10865.509,10899.139,5732418.06
03.01.2023 02:00:00.000 GMT-0000,10899.197,10929.209,10889.489,10923.379,4505504.13
03.01.2023 03:00:00.000 GMT-0000,10923.307,10948.359,10918.959,10946.699,3927254.92
03.01.2023 04:00:00.000 GMT-0000,10947.349,10950.879,10935.199,10935.699,2383304.12
03.01.2023 05:00:00.000 GMT-0000,10935.999,10970.599,10935.539,10963.869,2986110.93
03.01.2023 06:00:00.000 GMT-0000,10963.827,10978.187,10948.009,10964.889,2914156.91
03.01.2023 07:00:00.000 GMT-0000,10964.559,11001.179,10947.899,11000.389,3892177.1
03.01.2023 08:00:00.000 GMT-0000,11000.317,11046.399,10978.139,11040.389,6980080.13
03.01.2023 09:00:00.000 GMT-0000,11042.719,11080.889,11037.429,11080.689,5897757.05
03.01.2023 10:00:00.000 GMT-0000,11080.909,11084.299,11035.949,11056.869,4474637.99
03.01.2023 11:00:00.000 GMT-0000,11057.109,11062.409,10968.929,10992.129,4660401.82
03.01.2023 12:00:00.000 GMT-0000,10992.137,11021.379,10966.409,11010.829,5103712.08
03.01.2023 13:00:00.000 GMT-0000,11010.837,11040.669,10975.469,11029.839,5996580.12
03.01.2023 14:00:00.000 GMT-0000,11030.209,11095.929,10906.009,10908.669,8258452.42
03.01.2023 15:00:00.000 GMT-0000,10908.607,10930.619,10828.369,10893.289,9616550.45
03.01.2023 16:00:00.000 GMT-0000,10893.369,10904.177,10777.119,10791.759,8663306.24
03.01.2023 17:00:00.000 GMT-0000,10791.589,10825.729,10764.379,10789.789,7822299
03.01.2023 18:00:00.000 GMT-0000,10789.279,10838.069,10770.729,10833.189,8093537.33
03.01.2023 19:00:00.000 GMT-0000,10833.389,10881.549,10789.209,10856.299,8491560.94
03.01.2023 20:00:00.000 GMT-0000,10856.209,10890.417,10845.789,10861.389,8639601.71
03.01.2023 21:00:00.000 GMT-0000,10861.707,10863.889,10840.029,10847.759,1281136.04
03.01.2023 22:00:00.000 GMT-0000,10847.759,10847.759,10847.759,10847.759,0
03.01.2023 23:00:00.000 GMT-0000,10853.859,10865.789,10836.069,10864.889,1436805.96
04.01.2023 00:00:00.000 GMT-0000,10864.827,10878.819,10861.769,10865.859,2598843.1
04.01.2023 01:00:00.000 GMT-0000,10866.289,10900.799,10864.279,10893.799,2833818.91
04.01.2023 02:00:00.000 GMT-0000,10893.527,10899.389,10873.049,10873.847,2248492.96
04.01.2023 03:00:00.000 GMT-0000,10873.689,10890.489,10868.729,10881.309,1864393
04.01.2023 04:00:00.000 GMT-0000,10881.609,10899.669,10879.319,10899.179,1485692.02
04.01.2023 05:00:00.000 GMT-0000,10899.279,10903.299,10884.809,10893.899,1979799.03
04.01.2023 06:00:00.000 GMT-0000,10893.647,10899.599,10881.169,10898.329,1838264.94
04.01.2023 07:00:00.000 GMT-0000,10898.367,10919.249,10892.729,10913.149,2396796.94
04.01.2023 08:00:00.000 GMT-0000,10913.829,10966.909,10910.349,10935.319,5085041.05
04.01.2023 09:00:00.000 GMT-0000,10935.277,10939.399,10910.219,10919.789,3994649.89
04.01.2023 10:00:00.000 GMT-0000,10919.759,10940.179,10888.539,10910.879,3611871.96
04.01.2023 11:00:00.000 GMT-0000,10910.817,10944.289,10909.129,10926.349,3458197.12
04.01.2023 12:00:00.000 GMT-0000,10926.327,10927.909,10888.709,10906.819,4042025.09
04.01.2023 13:00:00.000 GMT-0000,10907.179,10963.589,10903.129,10940.549,4989501.95
04.01.2023 14:00:00.000 GMT-0000,10940.019,10963.379,10871.659,10898.679,8031357.77
04.01.2023 15:00:00.000 GMT-0000,10899.039,10933.889,10781.099,10879.359,10123962.4
04.01.2023 16:00:00.000 GMT-0000,10879.779,10982.649,10856.719,10961.859,9405936.24
04.01.2023 17:00:00.000 GMT-0000,10962.389,10974.579,10918.569,10918.579,8318294.53
04.01.2023 18:00:00.000 GMT-0000,10918.759,10960.797,10891.769,10930.169,8094017.03
04.01.2023 19:00:00.000 GMT-0000,10930.197,10978.637,10816.719,10908.739,10001355.17
04.01.2023 20:00:00.000 GMT-0000,10909.039,10937.289,10821.909,10912.539,9139247.89
04.01.2023 21:00:00.000 GMT-0000,10912.539,10920.099,10900.659,10904.049,1312569.02
04.01.2023 22:00:00.000 GMT-0000,10904.049,10904.049,10904.049,10904.049,0
04.01.2023 23:00:00.000 GMT-0000,10906.709,10919.099,10900.399,10909.849,1780213
05.01.2023 00:00:00.000 GMT-0000,10910.019,10913.099,10895.769,10895.849,2422271.97
05.01.2023 01:00:00.000 GMT-0000,10896.009,10909.789,10890.239,10893.849,2829602
05.01.2023 02:00:00.000 GMT-0000,10894.049,10895.079,10848.519,10867.309,2989768.98
05.01.2023 03:00:00.000 GMT-0000,10867.309,10877.309,10856.569,10866.999,2027313.95
05.01.2023 04:00:00.000 GMT-0000,10866.997,10901.117,10866.509,10897.309,1753396.99
05.01.2023 05:00:00.000 GMT-0000,10897.247,10903.989,10889.059,10896.529,1836869.96
05.01.2023 06:00:00.000 GMT-0000,10896.517,10906.987,10866.959,10867.089,1929134.01
05.01.2023 07:00:00.000 GMT-0000,10867.019,10882.849,10856.559,10866.099,2562592.98
05.01.2023 08:00:00.000 GMT-0000,10866.579,10889.989,10845.419,10876.489,4823248.86
05.01.2023 09:00:00.000 GMT-0000,10876.369,10898.499,10859.079,10897.859,3874835.97
05.01.2023 10:00:00.000 GMT-0000,10898.419,10930.199,10891.099,10917.119,3292999.98
05.01.2023 11:00:00.000 GMT-0000,10917.309,10954.099,10917.309,10938.359,2868884.09
05.01.2023 12:00:00.000 GMT-0000,10938.327,10960.077,10918.269,10921.959,3522164.11
05.01.2023 13:00:00.000 GMT-0000,10922.809,10934.789,10827.409,10843.249,6706185.82
05.01.2023 14:00:00.000 GMT-0000,10843.339,10843.599,10730.239,10782.719,8030382.16
05.01.2023 15:00:00.000 GMT-0000,10783.219,10841.719,10759.329,10766.319,9613226.89
05.01.2023 16:00:00.000 GMT-0000,10766.579,10808.899,10755.039,10778.299,9024998.66
05.01.2023 17:00:00.000 GMT-0000,10778.549,10809.239,10758.309,10760.029,8850155.83
05.01.2023 18:00:00.000 GMT-0000,10760.117,10837.629,10745.119,10797.309,8960634.23
05.01.2023 19:00:00.000 GMT-0000,10797.377,10837.089,10782.619,10802.419,8778359.41
05.01.2023 20:00:00.000 GMT-0000,10802.899,10803.299,10729.539,10744.117,8866378.78
05.01.2023 21:00:00.000 GMT-0000,10744.159,10757.109,10740.709,10748.109,1220404.03
05.01.2023 22:00:00.000 GMT-0000,10748.109,10748.109,10748.109,10748.109,0
05.01.2023 23:00:00.000 GMT-0000,10762.699,10770.599,10753.529,10762.799,1437522.05
06.01.2023 00:00:00.000 GMT-0000,10762.747,10775.999,10762.119,10774.119,1903414.96
06.01.2023 01:00:00.000 GMT-0000,10774.309,10791.489,10769.889,10787.149,2439821.96
06.01.2023 02:00:00.000 GMT-0000,10787.269,10791.639,10785.059,10788.669,1945165.99
06.01.2023 03:00:00.000 GMT-0000,10788.717,10808.099,10787.549,10792.789,2187966.11
06.01.2023 04:00:00.000 GMT-0000,10792.869,10801.819,10787.539,10797.709,1296427.01
06.01.2023 05:00:00.000 GMT-0000,10797.697,10797.989,10766.769,10772.139,2315216.06
06.01.2023 06:00:00.000 GMT-0000,10773.039,10779.639,10766.769,10772.779,1693760.04
06.01.2023 07:00:00.000 GMT-0000,10772.747,10787.489,10741.039,10743.069,2696908.95
06.01.2023 08:00:00.000 GMT-0000,10743.339,10758.899,10735.399,10751.619,4615056.04
06.01.2023 09:00:00.000 GMT-0000,10751.517,10752.289,10701.749,10726.699,3800796.99
06.01.2023 10:00:00.000 GMT-0000,10727.129,10745.679,10713.079,10714.059,3493154.05
06.01.2023 11:00:00.000 GMT-0000,10714.199,10736.279,10706.199,10715.569,3256469.97
06.01.2023 12:00:00.000 GMT-0000,10715.719,10730.387,10702.309,10718.189,3380637.88
06.01.2023 13:00:00.000 GMT-0000,10718.839,10891.899,10674.649,10866.679,7532034.87
06.01.2023 14:00:00.000 GMT-0000,10866.697,10873.707,10690.859,10739.159,9858890.53
06.01.2023 15:00:00.000 GMT-0000,10739.127,10917.769,10738.707,10907.209,10540430.07
06.01.2023 16:00:00.000 GMT-0000,10907.999,10965.119,10891.889,10945.509,9470952.99
06.01.2023 17:00:00.000 GMT-0000,10945.729,10960.889,10919.499,10934.659,8229343.41
06.01.2023 18:00:00.000 GMT-0000,10935.889,10996.599,10930.429,10993.979,7837816.24
06.01.2023 19:00:00.000 GMT-0000,10994.049,11070.997,10991.729,11060.429,8092199.33
06.01.2023 20:00:00.000 GMT-0000,11060.409,11086.249,11028.489,11037.569,8271885.87
06.01.2023 21:00:00.000 GMT-0000,11037.507,11041.467,11015.509,11024.079,1330780.98
06.01.2023 22:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
06.01.2023 23:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 00:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 01:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 02:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 03:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 04:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 05:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 06:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 07:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 08:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 09:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 10:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 11:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 12:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 13:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 14:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 15:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 16:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 17:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 18:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 19:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 20:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 21:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 22:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
07.01.2023 23:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 00:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 01:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 02:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 03:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 04:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 05:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 06:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 07:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 08:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 09:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 10:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 11:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 12:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 13:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 14:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 15:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 16:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 17:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 18:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 19:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 20:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 21:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 22:00:00.000 GMT-0000,11024.079,11024.079,11024.079,11024.079,0
08.01.2023 23:00:00.000 GMT-0000,11047.919,11080.887,11044.589,11064.129,2716614.96
09.01.2023 00:00:00.000 GMT-0000,11064.689,11073.279,11044.519,11071.699,2486459.02
09.01.2023 01:00:00.000 GMT-0000,11071.647,11073.289,11052.289,11059.209,3246850.01
